Date,State,District,Confirmed,Active,Recovered,Deaths
2020-04-26,Andaman and Nicobar Islands,South Andaman,33,22,11,0
2020-04-26,Andhra Pradesh,Anantapur,53,35,14,4
2020-04-26,Andhra Pradesh,Chittoor,73,60,13,0
2020-04-26,Andhra Pradesh,East Godavari,39,27,12,0
2020-04-26,Andhra Pradesh,Guntur,214,177,29,8
2020-04-26,Andhra Pradesh,Krishna,177,140,29,8
2020-04-26,Andhra Pradesh,Kurnool,279,239,31,9
2020-04-26,Andhra Pradesh,Prakasam,56,33,23,0
2020-04-26,Andhra Pradesh,S.P.S. Nellore,72,47,23,2
2020-04-26,Andhra Pradesh,Srikakulam,3,3,0,0
2020-04-26,Andhra Pradesh,Visakhapatnam,22,3,19,0
2020-04-26,Andhra Pradesh,West Godavari,51,41,10,0
2020-04-26,Andhra Pradesh,Y.S.R. Kadapa,58,30,28,0
2020-04-26,Arunachal Pradesh,Lohit,1,0,1,0
2020-04-26,Assam,Cachar,1,0,1,0
2020-04-26,Assam,Dhubri,5,2,3,0
2020-04-26,Assam,Goalpara,4,1,3,0
2020-04-26,Assam,Golaghat,9,1,8,0
2020-04-26,Assam,Hailakandi,1,0,0,1
2020-04-26,Assam,Kamrup,1,0,1,0
2020-04-26,Assam,Kamrup Metropolitan,1,0,1,0
2020-04-26,Assam,Karimganj,1,1,0,0
2020-04-26,Assam,Lakhimpur,1,0,1,0
2020-04-26,Assam,Morigaon,6,2,4,0
2020-04-26,Assam,Nalbari,4,0,4,0
2020-04-26,Assam,South Salmara Mankachar,1,0,1,0
2020-04-26,Bihar,Arwal,4,4,0,0
2020-04-26,Bihar,Aurangabad,2,2,0,0
2020-04-26,Bihar,Banka,2,2,0,0
2020-04-26,Bihar,Begusarai,9,8,1,0
2020-04-26,Bihar,Bhagalpur,5,4,1,0
2020-04-26,Bihar,Bhojpur,2,1,1,0
2020-04-26,Bihar,Buxar,25,24,1,0
2020-04-26,Bihar,East Champaran,5,5,0,0
2020-04-26,Bihar,Gaya,6,1,5,0
2020-04-26,Bihar,Gopalganj,12,9,3,0
2020-04-26,Bihar,Jehanabad,1,1,0,0
2020-04-26,Bihar,Kaimur,14,14,0,0
2020-04-26,Bihar,Lakhisarai,1,0,1,0
2020-04-26,Bihar,Madhepura,1,1,0,0
2020-04-26,Bihar,Munger,68,56,11,1
2020-04-26,Bihar,Nalanda,34,28,6,0
2020-04-26,Bihar,Nawada,3,1,2,0
2020-04-26,Bihar,Patna,33,28,5,0
2020-04-26,Bihar,Rohtas,15,15,0,0
2020-04-26,Bihar,Saran,3,2,1,0
2020-04-26,Bihar,Siwan,30,12,18,0
2020-04-26,Bihar,Vaishali,2,1,0,1
2020-04-26,Chandigarh,Chandigarh,36,19,17,0
2020-04-26,Chhattisgarh,Bilaspur,1,0,1,0
2020-04-26,Chhattisgarh,Durg,1,0,1,0
2020-04-26,Chhattisgarh,Korba,28,4,24,0
2020-04-26,Chhattisgarh,Raipur,6,1,5,0
2020-04-26,Chhattisgarh,Rajnandgaon,1,0,1,0
2020-04-26,Goa,North Goa,6,0,6,0
2020-04-26,Goa,South Goa,1,0,1,0
2020-04-26,Gujarat,Ahmedabad,2181,1937,140,104
2020-04-26,Gujarat,Anand,49,32,14,3
2020-04-26,Gujarat,Aravalli,18,17,0,1
2020-04-26,Gujarat,Banaskantha,28,27,1,0
2020-04-26,Gujarat,Bharuch,29,13,14,2
2020-04-26,Gujarat,Bhavnagar,40,17,18,5
2020-04-26,Gujarat,Botad,12,11,0,1
2020-04-26,Gujarat,Chhota Udaipur,13,10,3,0
2020-04-26,Gujarat,Dahod,4,3,1,0
2020-04-26,Gujarat,Dang,1,1,0,0
2020-04-26,Gujarat,Gandhinagar,25,11,12,2
2020-04-26,Gujarat,Gir Somnath,3,1,2,0
2020-04-26,Gujarat,Jamnagar,1,0,0,1
2020-04-26,Gujarat,Kheda,6,5,1,0
2020-04-26,Gujarat,Kutch,6,2,3,1
2020-04-26,Gujarat,Mahisagar,10,10,0,0
2020-04-26,Gujarat,Mehsana,7,5,2,0
2020-04-26,Gujarat,Morbi,1,1,0,0
2020-04-26,Gujarat,Narmada,12,12,0,0
2020-04-26,Gujarat,Navsari,3,3,0,0
2020-04-26,Gujarat,Panchmahal,17,15,0,2
2020-04-26,Gujarat,Patan,17,5,11,1
2020-04-26,Gujarat,Porbandar,3,0,3,0
2020-04-26,Gujarat,Rajkot,45,31,14,0
2020-04-26,Gujarat,Sabarkantha,3,1,2,0
2020-04-26,Gujarat,Surat,526,495,16,15
2020-04-26,Gujarat,Surendranagar,1,1,0,0
2020-04-26,Gujarat,Tapi,1,1,0,0
2020-04-26,Gujarat,Vadodara,234,166,56,12
2020-04-26,Gujarat,Valsad,5,4,0,1
2020-04-26,Himachal Pradesh,Chamba,6,2,4,0
2020-04-26,Himachal Pradesh,Hamirpur,2,2,0,0
2020-04-26,Himachal Pradesh,Kangra,5,1,3,1
2020-04-26,Himachal Pradesh,Sirmaur,2,1,1,0
2020-04-26,Himachal Pradesh,Solan,9,5,3,1
2020-04-26,Himachal Pradesh,Una,16,5,11,0
2020-04-26,Haryana,Ambala,13,2,10,1
2020-04-26,Haryana,Bhiwani,3,1,2,0
2020-04-26,Haryana,Charkhi Dadri,1,0,1,0
2020-04-26,Haryana,Faridabad,45,16,29,0
2020-04-26,Haryana,Fatehabad,1,0,1,0
2020-04-26,Haryana,Gurugram,51,16,35,0
2020-04-26,Haryana,Hisar,4,2,2,0
2020-04-26,Haryana,Jind,2,0,2,0
2020-04-26,Haryana,Kaithal,2,0,2,0
2020-04-26,Haryana,Karnal,6,0,5,1
2020-04-26,Haryana,Kurukshetra,2,0,2,0
2020-04-26,Haryana,Nuh,57,18,39,0
2020-04-26,Haryana,Palwal,34,5,29,0
2020-04-26,Haryana,Panchkula,18,8,10,0
2020-04-26,Haryana,Panipat,12,7,5,0
2020-04-26,Haryana,Rohtak,4,3,0,1
2020-04-26,Haryana,Sirsa,4,0,4,0
2020-04-26,Haryana,Sonipat,20,16,4,0
2020-04-26,Haryana,Yamunanagar,3,0,3,0
2020-04-26,Jharkhand,Bokaro,10,5,4,1
2020-04-26,Jharkhand,Deoghar,2,2,0,0
2020-04-26,Jharkhand,Dhanbad,2,2,0,0
2020-04-26,Jharkhand,Garhwa,3,3,0,0
2020-04-26,Jharkhand,Giridih,1,1,0,0
2020-04-26,Jharkhand,Hazaribagh,3,1,2,0
2020-04-26,Jharkhand,Koderma,1,1,0,0
2020-04-26,Jharkhand,Palamu,3,3,0,0
2020-04-26,Jharkhand,Ranchi,55,47,6,2
2020-04-26,Jharkhand,Simdega,2,1,1,0
2020-04-26,Jammu and Kashmir,Anantnag,48,48,0,0
2020-04-26,Jammu and Kashmir,Bandipora,124,100,23,1
2020-04-26,Jammu and Kashmir,Baramulla,62,42,17,3
2020-04-26,Jammu and Kashmir,Budgam,14,5,9,0
2020-04-26,Jammu and Kashmir,Ganderbal,14,12,2,0
2020-04-26,Jammu and Kashmir,Jammu,26,12,14,0
2020-04-26,Jammu and Kashmir,Kathua,1,1,0,0
2020-04-26,Jammu and Kashmir,Kishtwar,1,0,1,0
2020-04-26,Jammu and Kashmir,Kulgam,6,6,0,0
2020-04-26,Jammu and Kashmir,Kupwara,47,39,8,0
2020-04-26,Jammu and Kashmir,Pulwama,3,0,3,0
2020-04-26,Jammu and Kashmir,Rajouri,4,1,3,0
2020-04-26,Jammu and Kashmir,Ramban,1,1,0,0
2020-04-26,Jammu and Kashmir,Samba,4,4,0,0
